,key,score,feature_type
202,AROON,0.05689992373054408,trend
203,UOS,0.19134458948889088,trend
204,PVT12,0.0007359056478924449,trend
205,PLRC6,0.16424287599167672,trend
206,TRIX5,0.09358986553782106,trend
207,EMV14,0.012560070021272494,trend
208,AD20,0.0006244755845250333,trend
209,PVT6,0.000820362056600831,trend
210,PLRC12,0.051001162770384564,trend
211,MTM,0.1601671594393585,trend
212,DDI,0.10703741475873547,trend
213,ULCER10,-0.045588048450861555,trend
214,AROONUP,0.05632206353073342,trend
215,AD6,0.0009794878286594826,trend
216,EMV6,0.02924316184992148,trend
217,VR,0.10858924786233731,volume
218,MONEYFLOW20,-0.004064923671396924,volume
219,DAVOL20,-0.0001256887837051807,volume
220,VDEA,0.005279855393205812,volume
221,VEMA12,0.0041044224061101255,volume
222,VSTD10,0.0147042117308639,volume
223,OBV20,0.001878359797744609,volume
224,VOSC,0.02042527897910684,volume
225,VOL5,0.00511113125421025,volume
226,STOM,-0.008935716342555787,volume
227,VEMA26,-0.0013826877430024804,volume
228,VOL20,-0.012570857036747155,volume
229,VMACD,0.07063704845614054,volume
230,VEMA10,0.006342768530096428,volume
231,DAVOL10,0.008703882927919335,volume
232,STOQ,-0.010249793754534694,volume
233,DAVOL5,0.025040181593596143,volume
234,STOA,-0.010424073989752654,volume
235,KLINGEROSCILLATOR,0.025913484753225673,volume
236,OBV,0.004015927676391709,volume
237,TVMA20,-0.004005424768853036,volume
238,VEMA5,0.017194848912166452,volume
239,VROC6,0.1416024062449531,volume
240,VDIFF,0.039195463228429324,volume
241,VOL10,-0.006319349885259789,volume
242,TVSTD6,0.03930235067344948,volume
243,VOL60,-0.011916828130136996,volume
244,TVSTD20,0.006031326790387155,volume
245,VROC12,0.1345623868578361,volume
246,VOL120,-0.011644936343495952,volume
247,TVMA6,0.0057903491665615954,volume
248,OBV6,0.002181039002572645,volume
249,VOL240,-0.010643119954174553,volume
250,VSTD20,0.003214037129779692,volume
251,NETASSETPS,0.00841974010590814,psi
252,OPERATINGREVENUEPSLATEST,0.008049891109234285,psi
253,OPERATINGPROFITPS,0.010707908618956145,psi
254,DILUTEDEPS,0.009120531537226336,psi
255,RETAINEDEARNINGRATIO,-0.0035473337368101877,psi
256,TORPS,0.007872676648146205,psi
257,UNDIVIDEDPROFITPS,0.008712419647213787,psi
258,OPERATINGREVENUEPS,0.007778572934218305,psi
259,DIVIDENDPS,0.007137942148323506,psi
260,CASHEQUIVALENTPS,0.005924587112431141,psi
261,EPSTTM,0.010256545360864563,psi
262,ENTERPRISEFCFPS,0.0019292743823960477,psi
263,CASHFLOWPS,0.002598343743689081,psi
264,DIVIDENDPAIDRATIO,0.00350582401725977,psi
265,OPERATINGPROFITPSLATEST,0.011523281246639261,psi
266,SHAREHOLDERFCFPS,0.0025116234133736805,psi
267,EPS,0.0111490240872941,psi
268,RETAINEDEARNINGSPS,0.009209206051136398,psi
269,SURPLUSRESERVEFUNDPS,0.0059667243656645955,psi
270,TORPSLATEST,0.008133320140922468,psi
271,CASHDIVIDENDCOVER,0.00029649667232209143,psi
272,OPERCASHFLOWPS,0.006027134308151868,psi
273,CAPITALSURPLUSFUNDPS,0.00459715016692262,psi
274,DIVIDENDCOVER,-0.0024124342456945556,psi
275,ROA,0.0074584353707669564,pq
276,TAXRATIO,0.0004011153916322713,pq
277,SUE,0.0011201379622538044,pq
278,OPERATINGNITOTPLATEST,-7.650946329600671e-05,pq
279,ROAEBIT,0.009365090970039737,pq
280,ROAEBITTTM,0.006192488753275536,pq
281,ETOP,-0.005650390438095617,pq
282,SALESCOSTRATIO,-0.0008361013124219726,pq
283,EBITTOTOR,0.002510992998339749,pq
284,EGRO,-0.002436336720067441,pq
285,NPTOTOR,0.002662646354556996,pq
286,OPERATINGPROFITRATIO,0.0006280560996047124,pq
287,TOTALPROFITCOSTRATIO,0.003751203590954211,pq
288,ROIC,0.008840969589234627,pq
289,NETPROFITRATIO,0.0006409424789093377,pq
290,ROE,0.006661695293025814,pq
291,ADMINIEXPENSERATE,-0.000488750407891235,pq
292,INVESTRASSOCIATESTOTP,-0.0014911876086765355,pq
293,OPERATINGNITOTP,0.0008616858871056554,pq
294,NPCUTTONP,0.0015645694712189211,pq
295,ROEDILUTED,0.009875121141862255,pq
296,ROE5,0.0029783413119984442,pq
297,FINANCIALEXPENSERATE,-0.004072253301255105,pq
298,SUOI,0.0027132610787066512,pq
299,GROSSINCOMERATIO,0.000680196663096679,pq
300,ROA5,0.003094292367868348,pq
301,ROEAVG,0.00984419328556219,pq
302,INVESTRASSOCIATESTOTPLATEST,-0.0010794775989368915,pq
303,ROEWEIGHTED,0.009885538617211831,pq
304,NETNONOITOTPLATEST,-0.001095620056252183,pq
305,PERIODCOSTSRATE,-0.001714974785925121,pq
306,OPERATINGEXPENSERATE,-0.0002000919302806752,pq
307,ETP5,0.008799404601403962,pq
308,OPERATINGPROFITTOTOR,0.003226371635295601,pq
309,ROECUT,0.01042526773254756,pq
310,NETNONOITOTP,0.0001979281123387259,pq
311,ROECUTWEIGHTED,0.00270302313956477,pq
312,DEBTTANGIBLEEQUITYRATIO,0.00021025075301988783,sc
313,DEBTSASSETRATIO,-0.00022179979297510936,sc
314,CURRENTRATIO,0.00014326498239526888,sc
315,SUPERQUICKRATIO,0.0009147187763660385,sc
316,NOCFTOTLIABILITY,0.0050625590391649,sc
317,BLEV,-0.0009384928695948336,sc
318,LONGDEBTTOASSET,-0.0005861020099056547,sc
319,FIXASSETRATIO,3.680005978410813e-05,sc
320,LONGDEBTTOWORKINGCAPITAL,0.0004430673711098642,sc
321,NOCFTOINTERESTBEARDEBT,-0.000328833434265675,sc
322,INTEBEARDEBTTOTOTALCAPITAL,-0.001314263657105791,sc
323,TSEPTOTOTALCAPITAL,0.0015090180810662798,sc
324,CURRENTASSETSRATIO,0.002167127340992119,sc
325,BONDSPAYABLETOASSET,-0.0027834324186216137,sc
326,EQUITYTOASSET,0.0003295738654192939,sc
327,TANGIBLEATONETDEBT,-0.0007608816315855733,sc
328,NONCURRENTASSETSRATIO,-0.0030297943320360217,sc
329,TANGIBLEATOINTEBEARDEBT,8.938721110687627e-05,sc
330,TSEPTOINTERESTBEARDEBT,-0.0003295396741582396,sc
331,EQUITYFIXEDASSETRATIO,-0.0020959125434179392,sc
332,LONGTERMDEBTTOASSET,-0.0016081620277712543,sc
333,QUICKRATIO,0.0014626199098960319,sc
334,INTANGIBLEASSETRATIO,-0.0030386236162260097,sc
335,NOCFTONETDEBT,0.0005786126992532728,sc
336,MLEV,-0.005673779801298716,sc
337,INTERESTCOVER,0.0017265532684654847,sc
338,DEBTEQUITYRATIO,0.0016455152524128688,sc
339,CFO2EV,0.0015704154032143928,cf
340,CTP5,0.007249512989244455,cf
341,INVESTCASHGROWRATE,-0.0008150455040349283,cf
342,NOCFTOOPERATINGNILATEST,0.0007131807908817083,cf
343,OPERCASHINTOCURRENTLIABILITY,0.005242704158427857,cf
344,FINANCINGCASHGROWRATE,0.0005406520691694347,cf
345,CTOP,-0.0047419960546140555,cf
346,OPERCASHGROWRATE,0.0014132332970734293,cf
347,NOCFTOOPERATINGNI,-0.00039097257735629917,cf
348,SALESERVICECASHTOOR,0.003543860855246416,cf
349,CASHRATEOFSALESLATEST,0.0016576070972317688,cf
350,CASHRATEOFSALES,0.0022081717028851933,cf
351,OPERCASHINTOASSET,0.0053193488261335286,cf
352,CASHTOCURRENTLIABILITY,0.001326083679709524,cf
353,ACCA,0.0044524267273305055,cf
354,NETPROFITCASHCOVER,0.0018325030711882804,cf
355,SALESSERVICECASHTOORLATEST,0.0019176630651541757,cf
356,ARTDAYS,-0.0023688607357956457,oc
357,OPERATINGCYCLE,-0.002244561625553946,oc
358,FIXEDASSETSTRATE,0.0009546864947505345,oc
359,EQUITYTRATE,0.002745117686271709,oc
360,ACCOUNTSPAYABLESTDAYS,-0.0005971262461497598,oc
361,CASHCONVERSIONCYCLE,-0.0011726121968776387,oc
362,ARTRATE,0.0016757881984144148,oc
363,ACCOUNTSPAYABLESTRATE,0.0001807109319011036,oc
364,INVENTORYTDAYS,-0.0009662062799401304,oc
365,INVENTORYTRATE,-0.001550978072264243,oc
366,CURRENTASSETSTRATE,0.003729243860468484,oc
367,TOTALASSETSTRATE,0.003856090060817055,oc
368,FY12P,-0.012804289804733006,af
369,FEARNG,0.0004717791430133691,af
370,EPIBS,-0.012804289804733006,af
371,DAREC,0.0014083537336521466,af
372,EGIBSLONG,-0.0008032088413904868,af
373,GREC,0.0007685839641855066,af
374,DASREV,0.0029619909771438613,af
375,GREV,0.0062251420050808415,af
376,REC,0.005147551688669885,af
377,SFY12P,-0.005822535492797375,af
378,DAREV,0.004001570412096821,af
379,GSREV,0.005771593799948723,af
380,FSALESG,0.003126199197205001,af
381,TPROFITTTM,0.006159023002485984,derive
382,NPFROMVALUECHGTTM,0.00493338999373492,derive
383,GROSSPROFIT,0.007169840875651948,derive
384,NETPROFITAPTTM,0.005810075813316353,derive
385,OPERATEPROFITTTM,0.005996722256592794,derive
386,FCFF,0.0024658837095992525,derive
387,NPFROMOPERATINGTTM,0.0030717628614790925,derive
388,TOTALPAIDINCAPITAL,0.005278976531691568,derive
389,ASSETIMPAIRLOSSTTM,0.0035756323091617435,derive
390,DA,0.003383002493042157,derive
391,INTFREECL,0.005189457471728644,derive
392,NETOPERATECFTTM,0.0030810823465079865,derive
393,SALESEXPENSETTM,0.005672405294186457,derive
394,EBIAT,0.008742048109707235,derive
395,GROSSPROFITTTM,0.00665447670476176,derive
396,NRPROFITLOSS,0.002948611610042047,derive
397,EBIT,0.008410377290186977,derive
398,ADMINEXPENSETTM,0.005662594917673709,derive
399,SALESERVICERENDERCASHTTM,0.004829139035739551,derive
400,EBITDA,0.006252263096599203,derive
401,RETAINEDEARNINGS,0.004482792152984051,derive
402,NETINTEXPENSE,0.0036902157973497593,derive
403,NETFINANCECFTTM,-0.0006295345354581965,derive
404,OPERATENETINCOME,0.0039680111827580114,derive
405,TREVENUETTM,0.006130809541751687,derive
406,NETDEBT,0.001008427317758896,derive
407,VALUECHGPROFIT,0.005344632289233575,derive
408,FINANEXPENSETTM,0.0029093305700892275,derive
409,NIAPCUT,0.006211178255717762,derive
410,NETWORKINGCAPITAL,0.002210673220524773,derive
411,INTDEBT,0.003644580470389523,derive
412,REVENUETTM,0.006073056379365601,derive
413,INTCL,0.0039919324020722706,derive
414,TOTALFIXEDASSETS,0.0037313878943106326,derive
415,NONOPERATINGNPTTM,0.0021646310111694857,derive
416,WORKINGCAPITAL,0.0026937786455349757,derive
417,INTFREENCL,0.00357287573631322,derive
418,TCOSTTTM,0.0061424010362781944,derive
419,FCFE,0.002743079272924667,derive
420,NETTANGIBLEASSETS,0.004089941733278804,derive
421,NETPROFITTTM,0.006045048971112064,derive
422,COSTTTM,0.005890151040171383,derive
423,NETINVESTCFTTM,-0.002622348096318636,derive
