key,score,feature_type
FINANCINGCASHGROWRATE,0.000577666,cf
CASHRATEOFSALES,0.000548931,cf
VALUECHGPROFIT,0.000513968,derive
NPCUTTONP,0.00050219,pq
NETINVESTCFTTM,0.000471234,derive
MLEV,0.000468722,sc
EBIT,0.000421256,derive
TORPSLATEST,0.000412887,psi
OPERATINGREVENUEPSLATEST,0.000400246,psi
TORPS,0.000390801,psi
OPERATINGREVENUEPS,0.000382011,psi
SHAREHOLDERFCFPS,0.000151205,psi
NETPROFITGROWRATE3Y,0.00011629,growth
DVRAT,0.000112133,obos
DA,7.88E-05,derive
OPERATINGPROFITPSLATEST,3.57E-05,psi
NPPARENTCOMPANYGROWRATE,-1.38E-05,growth
OPERATINGREVENUEGROWRATE,-2.07E-05,growth
EBITDA,-2.55E-05,derive
TEMA5,-7.60E-05,ma
ROEDILUTED,-0.000163267,pq
EPS,-0.00031425,psi
ACCOUNTSPAYABLESTRATE,-0.000326064,oc
OPERATINGPROFITPS,-0.000357062,psi
ROEWEIGHTED,-0.000366188,pq
ROEAVG,-0.000371669,pq
NETOPERATECFTTM,-0.000395468,derive
STM,-0.000474639,obos
TOTALASSETS,-0.000497256,vs
DILUTEDEPS,-0.000525751,psi
ASSETIMPAIRLOSSTTM,-0.000563854,derive
DHILO,-0.000614604,trend
DAVOL20,-0.000621978,volume
DIVIDENDPAIDRATIO,-0.000674895,psi
NOCFTONETDEBT,-0.000694848,sc
BACKWARDADJ,-0.000694912,obos
PEG5Y,-0.00079041,vs
EPSTTM,-0.000826475,psi
SALESEXPENSETTM,-0.000850235,derive
SUOI,-0.00086361,pq
OPERCASHFLOWPS,-0.000899947,psi
NIAP,-0.000943198,vs
NOCFTOOPERATINGNILATEST,-0.001048178,cf
NIAPCUT,-0.001094114,derive
STOM,-0.001137694,volume
NETCASHFLOWGROWRATE,-0.001240761,growth
ENTERPRISEFCFPS,-0.001276506,psi
GROSSINCOMERATIO,-0.001294961,pq
HSIGMA,-0.001328075,obos
ROECUT,-0.001430555,pq
TEAP,-0.001443936,vs
NETPROFITAPTTM,-0.001475555,derive
TPROFITTTM,-0.001508947,derive
NETPROFITTTM,-0.001533504,derive
PVT6,-0.001575789,trend
OBV6,-0.001578008,volume
CETOP,-0.001587791,vs
OPERCASHINTOASSET,-0.001588675,cf
OPERATEPROFITTTM,-0.001612138,derive
INVESTCASHGROWRATE,-0.001711481,cf
EGRO,-0.001761216,pq
NETTANGIBLEASSETS,-0.001811152,derive
SUE,-0.001821078,pq
CURRENTASSETSTRATE,-0.001862222,oc
OPERATENETINCOME,-0.001863565,derive
NETASSETGROWRATE,-0.001882523,growth
PERIODCOSTSRATE,-0.001962995,pq
OBV20,-0.001980921,volume
PVT12,-0.002025835,trend
DDNSR,-0.002050689,obos
AD6,-0.002112899,trend
