date,sec_id,quantity,avg_price,market_value,pnl
2017-12-28 15:30:00,601398.XSHG,57000,6.14,349980.0,0.0
2017-12-28 15:30:00,000686.XSHE,42500,8.75,371875.0,0.0
2017-12-28 15:30:00,300072.XSHE,1800,35.56,64008.00000000001,0.0
2017-12-28 15:30:00,600177.XSHG,500,9.14,4570.0,0.0
2017-12-28 15:30:00,600028.XSHG,7900,6.18,48822.0,0.0
2017-12-28 15:30:00,002714.XSHE,100,53.17,5317.0,0.0
2017-12-28 15:30:00,601800.XSHG,6500,12.79,83135.0,0.0
2017-12-28 15:30:00,000768.XSHE,1600,16.9,27039.999999999996,0.0
2017-12-28 15:30:00,601888.XSHG,200,42.86,8572.0,0.0
2017-12-28 15:30:00,600820.XSHG,10100,8.26,83426.0,0.0
2017-12-28 15:30:00,002153.XSHE,1200,27.05,32460.0,0.0
2017-12-28 15:30:00,002839.XSHE,29600,11.82,349872.0,0.0
2017-12-29 15:30:00,600637.XSHG,0,16.69,0.0,-0.0
2017-12-29 15:30:00,000425.XSHE,8245,4.61,38174.35,164.89999999999648
2017-12-29 15:30:00,600549.XSHG,0,26.25,0.0,-0.0
2017-12-29 15:30:00,600297.XSHG,0,7.79,0.0,0.0
2017-12-29 15:30:00,600837.XSHG,0,12.89,0.0,-0.0
2017-12-29 15:30:00,002466.XSHE,0,52.9,0.0,0.0
2017-12-29 15:30:00,600048.XSHG,0,13.71,0.0,0.0
2017-12-29 15:30:00,000157.XSHE,0,4.46,0.0,0.0
2017-12-29 15:30:00,600893.XSHG,0,26.72,0.0,0.0
2017-12-29 15:30:00,002230.XSHE,0,58.82,0.0,0.0
2017-12-29 15:30:00,601727.XSHG,6500,6.6447692307692305,43485.0,294.00000000000404
2017-12-29 15:30:00,002465.XSHE,4823,9.51,46252.57,385.8400000000003
2017-12-29 15:30:00,300017.XSHE,0,10.14,0.0,0.0
2017-12-29 15:30:00,600498.XSHG,0,28.97,0.0,-0.0
2017-12-29 15:30:00,600019.XSHG,2924,8.65,25263.36,-29.239999999999377
2017-12-29 15:30:00,002411.XSHE,0,26.48,0.0,0.0
2017-12-29 15:30:00,000858.XSHE,1800,80.75111111111111,143784.0,-1568.000000000015
2017-12-29 15:30:00,600021.XSHG,0,9.04,0.0,0.0
2017-12-29 15:30:00,300033.XSHE,600,50.03,29987.999999999996,-30.000000000002558
2017-12-29 15:30:00,600585.XSHG,300,29.35,8799.0,-6.000000000000938
2017-12-29 15:30:00,000538.XSHE,0,101.66,0.0,0.0
